媒体名称,收录类型,地区,门户类型,收录效果,频道类型,成本价,案例,入口,备注
新浪财经头条（科技）,网页收录,全国,中国五大门户,不包网页收录,IT科技数码,15,https://cj.sina.com.cn/,,发布到科技账号，非编辑责任不改 不退 不删 不支持催稿，联系方式默认删除（图片打马赛克），不保证链接时效
网易-新闻,网页收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,320,http://news.163.com/18/1120/10/E123BGM2000189DG.html,,提供正规网站来源，不要软文平台来源，健康江苏等来源~
证券之星-主站,百度新闻源收录,全国,全国商业门户,包百度新闻源收录,财经金融,100,https://if.stockstar.com/CP2018101700001131.shtml,http://if.stockstar.com/list/1741.shtml,加盟、婚纱摄影类不包收录，慈善融资类稿件不发
人民日报-经济网,百度新闻源收录,全国,中央新闻门户,不包百度新闻源收录,财经金融,70,http://www.ceweekly.cn/2018/0926/235390.shtml,,不带任何署名，不带图，
东方网-企业,网页收录,上海,地方重点门户,不包网页收录,企业,45,http://qiye.eastday.com/eastday/n23/n34/u1ai479945.html,http://qiye.eastday.com/eastday/n23/n34/index.html,图片最多5张，不带任何署名，秒出！
东方网-财经,网页收录,上海,地方重点门户,不包网页收录,财经金融,55,http://finance.eastday.com/eastday/finance1/Business/node3/u1ai479769.html,http://finance.eastday.com//Business/node3/n61/index.html,图限5张，不添加任何署名
腾讯网-大豫,百度新闻源收录,河南,中国五大门户,包百度新闻源收录,新闻资讯,50,http://henan.qq.com/a/20180629/030085.htm,,不包图
中国日报网-财经,百度新闻源收录,全国,中央新闻门户,不包百度新闻源收录,新闻资讯,150,http://caijing.chinadaily.com.cn/chanye/2018-01/12/content_35493035.htm,,需提供正规来源，图限5张，不添加任何署名
北方网-财经,百度新闻源收录,天津,地方重点门户,包百度新闻源收录,财经金融,50,http://economy.enorth.com.cn/system/2018/09/27/036173991.shtml,,图限5张，不添加任何署名，不包排版
中国江苏网-财经,百度新闻源收录,江苏,地方重点门户,包百度新闻源收录,财经金融,45,http://economy.jschina.com.cn/rddt/201801/t20180112_1340315.shtml,http://economy.jschina.com.cn/rddt/,图限5张（不包图 ），不带任何署名，加盟、婚纱类不包收录
自媒体优惠套餐,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,35,http://news.hongtongad.com/201810/19/32353241181791338574703341944891.html,,
搜狐财经,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,财经金融,35,http://m.sohu.com/a/275500602_100153337,,媒体号财经频道，发布前请看好案例，发稿账号随机
新浪-新闻,百度新闻源收录,全国,中国五大门户,不包百度新闻源收录,新闻资讯,380,,,晚上安排，隔天下班反馈，不带图，不保证链接有效性，上稿请注意！
网易-黑龙江+网易3G客户端,网页收录,黑龙江,中国五大门户,不包网页收录,新闻资讯,20,http://hlj.news.163.com/18/1118/13/E0T7RUMV04238OEV.html,,党政，医疗，网贷，本地房产，汽车，网络游戏，负面不发。不带外链，二维码，联系方式
中国新闻网-主站,网页收录,全国,中央新闻门户,不包百度新闻源收录,财经金融,380,http://www.chinanews.com/business/2018/11-26/8685803.shtml,,需要白名单来源，不要北国网，不包内容和图片， 图片一般显示在正文开始的位置 。栏目根据稿子安排。标题长的 及不合适的编辑会自行修改，不通知
和讯网-科技,网页收录,全国,全国商业门户,不包百度新闻源收录,IT科技数码,170,http://tech.hexun.com/2018-10-18/194909634.html,,标题限制30字符内，非编辑原因不修改，，医疗，金融不发，不包图，各种联系方式默认删除不通知
中国青年网-财经,百度新闻源收录,全国,中央新闻门户,不包百度新闻源收录,财经金融,150,http://finance.youth.cn/finance_cyxfgsxw/201811/t20181108_11779774.htm,,标题27个字符，白名单来源，另外，千龙网lady，北国网，中国网生活不要，内容复制不了。不要软文平台来源，只按原链接发布
中国经营网-滚动播报,百度新闻源收录,全国,其它,不包百度新闻源收录,财经金融,145,http://www.cb.com.cn/index/show/gd/cv/cv135469761496,,"需求正规来源，后台来源不要，内容复制不了。不要软文平台来源，只按原链接发布~
各类联系方式默认删除不通知~"
TOM-新闻,百度新闻源收录,全国,其它,不包百度新闻源收录,新闻资讯,90,http://news.tom.com/201803/3594638930.html,,"1.来源：中国娱乐资讯网、江苏健康网、软文平台来源，中文科技资讯网、太平洋、千讯网、证券之星、汽车时报等来源都不行、图片复制了经常打不开，不要用这些来源下单。
2.图片有二维码或者水印的稿件、编辑这边没办给稿件图片打马赛克、所以请自己先处理掉水印和二维码后在下单、不要备注图片打马赛克后再发、后面系统会直接默认删除带有二维码或者有明显水印的图片、如果图片不能删除、请备注不删图。后面会直接给大家直接退掉。
稿件里面有链接的、联系方式的、系统默认直接删除。不能删除的也请备注。
稿件图片来自网络的、系统会默认删除、如果不能改稿、下单请备注好、后面会给大家直接退掉。
3.不接p2p网贷、理财、互金、移民、负面、博彩、医药设备、保健品、婴幼儿奶粉、房地产、保险、敏感政治、枪械、色情、带有色情图片的稿件等类型稿件。
4.已经安排的稿件、不接受随意取消，退单申请；
5.稿件修改、不是编辑的问题、编辑一般不修改。"
国际在线-理财,百度新闻源收录,全国,其它,不包百度新闻源收录,财经金融,85,http://money.cri.cn/303/2018/11/21/cb847726-8a07-9def-93a3-b39b987426c8.html,,看稿件内容安排理财和环创两个频道，需要白名单来源
嘉兴在线-主站,网页收录,浙江,地方重点门户,不包网页收录,新闻资讯,35,http://www.cnjxol.com/news/content/2018-01/12/content_4038150.htm,,可发理财P2P
东北新闻网-财经,百度新闻源收录,全国,地方重点门户,不包百度新闻源收录,财经金融,35,http://finance.nen.com.cn/system/2018/11/15/020711258.shtml,http://finance.nen.com.cn/qyzx/cysd/index.shtml,频道首页入口有展示
网易-天津+网易3G客户端,网页收录,天津,中国五大门户,不包网页收录,新闻资讯,25,http://tj.news.163.com/18/0412/17/DF766MV10420981O.html,,不带明星图片
人民交通网-主站,百度新闻源收录,全国,中央新闻门户,不包百度新闻源收录,新闻资讯,20,http://www.rmjtxw.com/news/hyxw/32539.html,,秒出链接
和讯网-新闻,网页收录,北京,全国商业门户,不包网页收录,财经金融,170,http://news.hexun.com/2018-08-21/193842558.html,,医疗 区块链 互联网金融不发 非编辑原因不改稿  ，标题限制30字符内，不包图，各种联系方式默认删除不通知
环球网-城市,网页收录,全国,中央新闻门户,不包网页收录,新闻资讯,150,http://city.huanqiu.com/jzfp/2018-07/12502813.html,,负面不发，P2P不发，医疗不发，硬广不发;不包图 硬广图片或带联系方式的会删掉；链接、二维码，电话等各类联系方式不备注的默认删除；图片上不能带价格、金额，内容不能带产品价格，中奖金额；宽度大于600的图片会截图上传，可能会导致图片失真，如果不能接受下单请备注！ 标题限制30字符内
凤凰网-商业,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,110,http://biz.ifeng.com/a/20181031/45205699_0.shtml,,"周末可以出稿
只根据原链接出稿，不支持备注额外需求
以下类型稿子不发
1.化妆医药美容养生类
2.金融网贷类
3.区块链诈骗、虚拟货币、数字挖矿类
4.含网易、腾讯、搜狐、新浪等竞争对手品牌营销类
5.红包诱导、价格露出类
6.内容含诈骗、低俗、抹黑政府官员或领导人、攻击竞争对手、类型不适宜等
电话，链接，二维码等各类联系方式默认删除不通知~"
人民日报海外网-文化,百度新闻源收录,全国,中央新闻门户,不包百度新闻源收录,文化艺术,55,http://culture.haiwainet.cn/n/2018/0716/c3543156-31353527.html,,标题20字 编辑改稿不通知  图片删减不通知，排版不保证会按照原链接来，有网站自己的排版，图片都会在内容最顶端~
千城联播-套餐,网页收录,全国,地方重点门户,不包网页收录,新闻资讯,160,http://news.hongtongad.com/201808/31/41422586679142148983823679771646.html,,保留8张图，P2P，互金不发
财经网-商讯,百度新闻源收录,全国,其它,不包百度新闻源收录,财经金融,140,http://industry.caijing.com.cn/20180917/4515685.sh,,需要来源：中华网 中国网  飞象  赛迪   门户   白名单  等等，不要软文平台来源，不要北国网来源，只按原链接发布，有免责声明
上海热线,百度新闻源收录,上海,地方重点门户,包百度新闻源收录,新闻资讯,40,http://hi.online.sh.cn/content/2018-05/21/content_8900109.htm,,只发生活类文章。不支持手机端，标题中不能出现绝对词，内容不能出现明星照片、漫画图，编辑会默认删除。
凤凰网-湖南,百度新闻源收录,湖南,中央新闻门户,不包百度新闻源收录,新闻资讯,35,http://hunan.ifeng.com/a/20180112/6301350_0.shtml,http://hunan.ifeng.com/listpage/838/1/list.shtml,根据文章内容发布频道，不带明星图片
中国新闻网-安徽,百度新闻源收录,安徽,中央新闻门户,不包百度新闻源收录,新闻资讯,30,http://www.ah.chinanews.com/news/2018/0112/98050.shtml,,需要网站链接来源，图片最多4张，文章排版小标题不加粗，不居中。上稿后不能取消
上海热线-财经,百度新闻源收录,上海,地方重点门户,包百度新闻源收录,财经金融,35,http://rich.online.sh.cn/content/2018-03/28/content_8833201.htm,http://rich.online.sh.cn/rich/gb/special/node_98674.htm,不支持手机端，标题中不能出现绝对词，内容不能出现明星照片、漫画图，编辑会默认删除
华商网-财经,百度新闻源收录,陕西,地方重点门户,不包百度新闻源收录,财经金融,38,http://finance.hsw.cn/system/2017/1215/256213.shtml,http://finance.hsw.cn/jr/cyy/index.shtml,不包图，标题限20字内
中国网安监,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,新闻资讯,30,http://anjian.china.com.cn/html/hyxw/20180929/29154.html,,周末可发   医疗 微商 加盟  婚纱  金融可发不保证
企业观察报,百度新闻源收录,全国,全国商业门户,不包百度新闻源收录,财经金融,30,http://www.cneo.com.cn/article-90242-1.html,,"需要正规来源。招商加盟 博彩 联系方式不发
 医疗 美容 健康 带有产品功效的全不发"
外链套餐100家,网页收录,全国,全国商业门户,不包网页收录,新闻资讯,450,http://www.zjqiye.net/2018/0817/599043.shtml,,可带外链
39健康网,网页收录,全国,全国商业门户,不包网页收录,健康医疗,80,http://news.39.net/a/180831/6497638.html,,"1、莆田系医院的稿件不发。
2、保健品或者药品类的产品需要在药监局能查到。
3、不能违反广告法。
4、同一个产品的宣传文章，标题必须重新优化不可太过相似。
5、网上查到负面消息的不发。
6、与以下相关的不发：政治、整形 、人物案例 、电视节目、专家教授简介、处方药、明星，产品排行榜，筹款（若在大站点已经发过的，可酌情发布）。
癌症、心肌梗、糖尿病等严重疾病的治疗方法介绍，真假难定，全都不发。
像护肤品这些，保健鞋之类的不是吃到肚子里的，基本上都可以过，但也不要太过夸大
不带图，不带任何联系方式，修稿不通知！不带绝对词，必须加免责
(#深度鸿富通-免责声明#) 上稿请悉知！"
环球网-商业,网页收录,全国,全国商业门户,不包网页收录,财经金融,155,http://biz.huanqiu.com/pp/2018-11/13645381.html,,"""不带联系方式  安排后不能取消  不接网贷、互金、p2p、医疗医药、微商、医美、涉政、涉党、图片不能露出品牌、链接、二维码、联系方式都不能带
不包图""   改稿不通知"
凤凰网-河南,百度新闻源收录,河南,中国五大门户,不包百度新闻源收录,新闻资讯,40,http://hn.ifeng.com/a/20180612/6649743_0.shtml,,出稿速度不保证，不发区块链的稿子，不发本地新闻  不发金融理财稿子 股票 医疗 负面的  金融  等不包时效  股票配资删稿稿费照付
重庆晨报,百度新闻源收录,重庆,地方重点门户,不包百度新闻源收录,新闻资讯,10,http://www.cqcb.com/dyh/e-s/dyh2214/2018-07-03/936616_pc.html,,
